Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"DI.room117.故障停用","V10.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room117.试验占用","V10.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room117.温箱1设备","V10.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room117.温箱2设备","V10.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room117.温箱3设备","V10.7",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room117.温箱4设备","V11.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room117.预留设备","V11.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room118.动力总成系统/直流电源设备","V11.4",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room118.故障停用","V11.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room118.环境仓设备","V11.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room118.试验占用","V11.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room118.水冷机组设备","V11.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room120.故障停用","V12.1",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room120.试验占用","V12.0",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room120.温控箱1设备","V12.2",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room120.温控箱2设备","V12.3",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room121.电机模块设备","V12.6",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room121.故障停用","V12.5",Boolean,1,R/W,100,,,,,,,,,,"",
"DI.room121.试验占用","V12.4",Boolean,1,R/W,100,,,,,,,,,,"",
